2022-10-26  14:21:48 - fundSpider.py[line:314] - INFO: 	司南股债灵活组合区间收益信息爬取成功
2022-10-26  14:21:48 - fundSpider.py[line:324] - WARNING: 司南股债灵活组合无持仓分布详细信息
2022-10-26  14:21:48 - fundSpider.py[line:378] - INFO: 	司南股债灵活组合调仓历史信息爬取成功
2022-10-26  14:21:48 - fundSpider.py[line:400] - INFO: 	司南股债灵活组合备选基金信息入库成功
2022-10-26  14:21:48 - fundSpider.py[line:420] - INFO: 	司南股债灵活组合日收益信息入库成功

2022-10-26  14:21:49 - fundSpider.py[line:264] - INFO: 	司南绝对收益稳健组合基本信息爬取成功
2022-10-26  14:21:49 - fundSpider.py[line:314] - INFO: 	司南绝对收益稳健组合区间收益信息爬取成功
2022-10-26  14:21:49 - fundSpider.py[line:324] - WARNING: 司南绝对收益稳健组合无持仓分布详细信息
2022-10-26  14:21:49 - fundSpider.py[line:378] - INFO: 	司南绝对收益稳健组合调仓历史信息爬取成功
2022-10-26  14:21:49 - fundSpider.py[line:400] - INFO: 	司南绝对收益稳健组合备选基金信息入库成功
2022-10-26  14:21:49 - fundSpider.py[line:420] - INFO: 	司南绝对收益稳健组合日收益信息入库成功

2022-10-26  14:21:49 - fundSpider.py[line:264] - INFO: 	司南双月宝组合基本信息爬取成功
2022-10-26  14:21:49 - fundSpider.py[line:314] - INFO: 	司南双月宝组合区间收益信息爬取成功
2022-10-26  14:21:49 - fundSpider.py[line:324] - WARNING: 司南双月宝组合无持仓分布详细信息
2022-10-26  14:21:49 - fundSpider.py[line:378] - INFO: 	司南双月宝组合调仓历史信息爬取成功
2022-10-26  14:21:49 - fundSpider.py[line:400] - INFO: 	司南双月宝组合备选基金信息入库成功
2022-10-26  14:21:49 - fundSpider.py[line:420] - INFO: 	司南双月宝组合日收益信息入库成功

2022-10-26  14:21:50 - fundSpider.py[line:264] - INFO: 	司南安鑫一号(第20期)基本信息爬取成功
2022-10-26  14:21:50 - fundSpider.py[line:314] - INFO: 	司南安鑫一号(第20期)区间收益信息爬取成功
2022-10-26  14:21:50 - fundSpider.py[line:324] - WARNING: 司南安鑫一号(第20期)无持仓分布详细信息
2022-10-26  14:21:50 - fundSpider.py[line:378] - INFO: 	司南安鑫一号(第20期)调仓历史信息爬取成功
2022-10-26  14:21:50 - fundSpider.py[line:400] - INFO: 	司南安鑫一号(第20期)备选基金信息入库成功
2022-10-26  14:21:50 - fundSpider.py[line:420] - INFO: 	司南安鑫一号(第20期)日收益信息入库成功

2022-10-26  14:21:50 - fundSpider.py[line:264] - INFO: 	司南锐进组合(第17期)基本信息爬取成功
